country_name,preffix
" New Jersey, USA",+1-609
" District of Columbia, USA",+1-202
" Connecticut, USA",+1-203
" Manitoba, USA",+1-431
" Alabama, USA",+1-334
" Washington, USA",+1-509
" Maine, USA",+1-207
" Idaho, USA",+1-208
" California, USA",+1-562
" Texas, USA",+1-806
" New York, USA",+1-718
" Pennsylvania, USA",+1-814
" Ohio, USA",+1-614
" Illinois, USA",+1-309
" Minnesota, USA",+1-651
" Indiana, USA",+1-317
" Ohio (overlay with 330 and 234), USA",+1-220
" Illinois (overlay with 847), USA",+1-224
" Louisiana, USA",+1-985
" Ontario, USA",+1-807
" Mississippi, USA",+1-662
" Georgia, USA",+1-404
" Michigan, USA",+1-616
" Ohio (overlay with 330 and 220), USA",+1-234
" British Columbia, USA",+1-604
" Florida, USA",+1-863
" Maryland (overlay with 301), USA",+1-240
" Michigan (overlay with 947), USA",+1-248
" North Carolina, USA",+1-828
" Wisconsin, USA",+1-608
" Anguilla, USA",+1-264
" Pennsylvania (overlay with 215), USA",+1-267
" Antigua and Barbuda, USA",+1-268
" Kentucky, USA",+1-606
" Pennsylvania (overlay with 570), USA",+1-445
" Virginia, USA",+1-804
" Michigan (overlay with 906), USA",+1-278
" California (overlay with 916 and 530), USA",+1-279
" Ohio (overlay with 740), USA",+1-380
" British Virgin Islands, USA",+1-284
" Maryland (overlay with 240), USA",+1-301
" Delaware, USA",+1-302
" Colorado, USA",+1-719
" West Virginia, USA",+1-304
" Saskatchewan, USA",+1-639
" Wyoming, USA",+1-307
" Nebraska, USA",+1-402
" Missouri, USA",+1-314
" Kansas, USA",+1-785
" Iowa, USA",+1-712
" Ohio (overlay with 937), USA",+1-326
" Ohio (overlay with 220 and 234), USA",+1-330
" Illinois (overlay with 630), USA",+1-331
" New York (overlay with 212, USA",+1-646
" Massachusetts (overlay with 781 and 857), USA",+1-339
" U.S. Virgin Islands, USA",+1-340
" California (overlay with 510), USA",+1-341
" Cayman Islands, USA",+1-345
" Texas (overlay with 281, USA",+1-346
" New York (overlay with 718, USA",+1-347
" Massachusetts (overlay with 978 and 774), USA",+1-351
" Kentucky (overlay with 270), USA",+1-364
" Utah (overlay with 801), USA",+1-385
" Rhode Island, USA",+1-401
" Alberta, USA",+1-825
" Oklahoma, USA",+1-580
" Montana, USA",+1-406
" Maryland, USA",+1-410
" Massachusetts, USA",+1-617
" Quebec, USA",+1-819
" Tennessee, USA",+1-731
" Texas (overlay with 903), USA",+1-430
" Utah, USA",+1-801
" Bermuda, USA",+1-441
" California (overlay with 760), USA",+1-448
" Maryland (overlay with 667), USA",+1-443
" Oregon, USA",+1-541
" Indiana (overlay with 219), USA",+1-463
" Texas (overlay with 214, USA",+1-469
" Georgia (overlay with 404 and 678), USA",+1-470
" Grenada, USA",+1-473
" Connecticut (overlay with 203), USA",+1-475
" Arkansas, USA",+1-501
" Arizona, USA",+1-623
